route_name,stop_name,average_ons,average_offs
Blue Line,Airport,26490.090909090908,23345.863636363636
Blue Line,Aquarium,17226.878787878788,16207.954545454546
Blue Line,Beachmont,10900.878787878788,11148.045454545454
Blue Line,Bowdoin,6740.469696969697,6491.606060606061
Blue Line,Government Center,45646.621212121216,40174.333333333336
Blue Line,Maverick,38493.666666666664,41058.13636363636
Blue Line,Orient Heights,14688.439393939394,13428.545454545454
Blue Line,Revere Beach,10657.651515151516,12060.863636363636
Blue Line,State Street,47082.878787878784,53932.65151515151
Blue Line,Suffolk Downs,2154.7727272727275,2318.0151515151515
Blue Line,Wonderland,21789.575757575756,21804.560606060608
Blue Line,Wood Island,7326.181818181818,7227.318181818182
Green Line,Allston Street,2508.348484848485,2354.060606060606
Green Line,Arlington,28111.530303030304,27751.833333333332
Green Line,Babcock Street,2703.651515151515,2723.5757575757575
Green Line,Back of the Hill,373.74242424242425,458.3181818181818
Green Line,Beaconsfield,1975.7121212121212,2236.742424242424
Green Line,Blandford Street,2058.969696969697,2051.8636363636365
Green Line,Boston College,1204.469696969697,866.3030303030303
Green Line,Boston Univ. Central,3200.5,3118.1969696969695
Green Line,Boston Univ. East,2531.181818181818,2233.287878787879
Green Line,Boston Univ. West,1815.8636363636363,1689.8333333333333
Green Line,Boylston,26038.090909090908,25635.18181818182
Green Line,Brandon Hall,701.0909090909091,684.3030303030303
Green Line,Brigham Circle,4283.727272727273,3912.348484848485
Green Line,Brookline Hills,2454.4848484848485,1920.590909090909
Green Line,Brookline Village,4373.439393939394,4370.818181818182
Green Line,Chestnut Hill,2558.348484848485,2043.7121212121212
Green Line,Chestnut Hill Ave.,960.4242424242424,1124.530303030303
Green Line,Chiswick Road,1367.6666666666667,1360.469696969697
Green Line,Cleveland Circle,1423.4242424242425,841.0
Green Line,Coolidge Corner,6000.833333333333,5427.484848484848
Green Line,Copley,50830.36363636364,49549.545454545456
Green Line,Dean Road,950.8030303030303,1001.439393939394
Green Line,Eliot,1326.7424242424242,1063.2121212121212
Green Line,Englewood Ave.,1134.060606060606,2399.4848484848485
Green Line,Fairbanks Street,1093.3939393939395,988.3484848484849
Green Line,Fenway,4868.80303030303,4311.409090909091
Green Line,Fenwood Road,779.8181818181819,1233.8181818181818
Green Line,Government Center,50938.106060606064,56900.72727272727
Green Line,Griggs Street,2723.7727272727275,2409.530303030303
Green Line,Harvard Ave.,6720.439393939394,7886.621212121212
Green Line,Hawes Street,719.4242424242424,821.6212121212121
Green Line,Haymarket,22199.28787878788,23619.863636363636
Green Line,Heath Street,1298.9545454545455,1268.469696969697
Green Line,Hynes Convention Center,28893.378787878788,27845.333333333332
Green Line,Kenmore,34418.742424242424,34948.34848484849
Green Line,Kent Street,864.8030303030303,706.939393939394
Green Line,Lechmere,19541.727272727272,13950.484848484848
Green Line,Longwood,3521.287878787879,3496.1666666666665
Green Line,Longwood Medical Area,4302.560606060606,4113.287878787879
Green Line,Mission Park,1516.2878787878788,1795.1363636363637
Green Line,Museum of Fine Arts,3217.787878787879,2795.2272727272725
Green Line,Newton Centre,3062.1060606060605,2495.8333333333335
Green Line,Newton Highlands,2218.6666666666665,2216.8939393939395
Green Line,North Station,25136.39393939394,24206.227272727272
Green Line,Northeastern University,4074.6666666666665,5353.151515151515
Green Line,Packards Corner,4153.484848484848,3855.818181818182
Green Line,Park Street,102374.39393939394,106201.42424242424
Green Line,Pleasant Street,2171.651515151515,1854.4545454545455
Green Line,Prudential,11563.651515151516,10125.030303030304
Green Line,Reservoir,3926.287878787879,4596.439393939394
Green Line,Riverside,1539.6818181818182,1210.3181818181818
Green Line,Riverway,1114.560606060606,1487.1515151515152
Green Line,Saint Mary Street,2613.939393939394,3195.909090909091
Green Line,Saint Paul Street,1790.0984848484848,1499.5227272727273
Green Line,Science Park,10890.333333333334,12872.439393939394
Green Line,South Street,565.3030303030303,1317.6515151515152
Green Line,Summit Ave.,1687.878787878788,1570.621212121212
Green Line,Sutherland Road,1798.939393939394,1400.6363636363637
Green Line,Symphony,6813.151515151515,6849.409090909091
Green Line,Tappan Street,1327.3484848484848,1223.3484848484848
Green Line,Waban,1079.530303030303,820.6060606060606
Green Line,Warren Street,2701.3939393939395,2657.0151515151515
Green Line,Washington Square,1834.3939393939395,1540.9242424242425
Green Line,Washington Street,3046.818181818182,2849.2272727272725
Green Line,Woodland,1461.878787878788,1421.3181818181818
Orange Line,Assembly,12428.757575757576,14127.560606060606
Orange Line,Back Bay,49032.242424242424,49075.121212121216
Orange Line,Chinatown,19490.560606060608,18017.196969696968
Orange Line,Community College,15812.772727272728,21617.060606060608
Orange Line,Downtown Crossing,94501.16666666667,96567.68181818182
Orange Line,Forest Hills,39190.318181818184,36654.69696969697
Orange Line,Green Street,10093.075757575758,10475.136363636364
Orange Line,Haymarket,27739.5,27759.409090909092
Orange Line,Jackson Square,17004.696969696968,16120.89393939394
Orange Line,Malden Center,38242.0,38019.86363636364
Orange Line,Massachusetts Ave.,18673.651515151516,21495.848484848484
Orange Line,North Station,38578.621212121216,34472.27272727273
Orange Line,Oak Grove,20628.151515151516,17060.166666666668
Orange Line,Roxbury Crossing,14039.924242424242,14208.40909090909
Orange Line,Ruggles,33264.969696969696,33487.606060606064
Orange Line,State Street,54934.666666666664,53477.06060606061
Orange Line,Stony Brook,10667.39393939394,11397.727272727272
Orange Line,Sullivan Square,28311.151515151516,27748.575757575756
Orange Line,Tufts Medical Center,19224.5,20056.530303030304
Orange Line,Wellington,23639.89393939394,23659.257575757576
Red Line,Alewife,36229.878787878784,36203.242424242424
Red Line,Andrew,20115.530303030304,20731.454545454544
Red Line,Ashmont,28136.60606060606,23295.333333333332
Red Line,Braintree,13968.727272727272,11961.89393939394
Red Line,Broadway,19412.060606060608,19888.68181818182
Red Line,Central,48652.030303030304,52134.606060606064
Red Line,Charles/MGH,31755.409090909092,32958.63636363636
Red Line,Davis,38037.257575757576,39768.333333333336
Red Line,Downtown Crossing,99059.30303030302,106797.15151515152
Red Line,Fields Corner,16843.21212121212,17065.015151515152
Red Line,Harvard,61901.818181818184,53526.28787878788
Red Line,JFK/Umass,32105.469696969696,32789.045454545456
Red Line,Kendall/MIT,49818.257575757576,52853.21212121212
Red Line,North Quincy,21692.727272727272,22674.909090909092
Red Line,Park Street,106049.93939393939,105654.15151515152
Red Line,Porter,26846.227272727272,28387.030303030304
Red Line,Quincy Adams,14053.712121212122,14362.712121212122
Red Line,Quincy Center,24631.772727272728,25614.5
Red Line,Savin Hill,7450.69696969697,7830.015151515152
Red Line,Shawmut,7668.757575757576,10240.257575757576
Red Line,South Station,84663.31818181818,73515.63636363637
Red Line,Wollaston,10504.59090909091,11345.515151515152
