season,route_id,route_name,day_type_name,time_period_id,time_period_name,stop_name,total_ons,total_offs,number_service_days,average_ons,average_offs,average_flow,year,distance_to_center
Fall 2019,Red,Red Line,Weekday,5,Midday School,Ashmont,0,118221,77,0,1535,0,2019,5.22382406
Fall 2019,Red,Red Line,Weekday,5,Midday School,Broadway,25436,45375,77,330,589,7553,2019,1.211795205
Fall 2019,Red,Red Line,Weekday,5,Midday School,Braintree,0,72016,77,0,935,0,2019,10.93713477
Fall 2019,Red,Red Line,Weekday,5,Midday School,Charles/MGH,102736,34439,77,1334,447,7287,2019,0.598630827
Fall 2019,Red,Red Line,Weekday,5,Midday School,Central,100113,34045,77,1300,442,4835,2019,2.300899444
Fall 2019,Red,Red Line,Weekday,5,Midday School,Davis,62838,4611,77,816,60,1535,2019,4.091834912
Fall 2019,Red,Red Line,Weekday,5,Midday School,Downtown Crossing,203502,164500,77,2643,2136,8310,2019,0.32440095
Fall 2019,Red,Red Line,Weekday,5,Midday School,Fields Corner,16259,72630,77,211,943,1993,2019,0.0
Fall 2019,Red,Red Line,Weekday,5,Midday School,Harvard,172338,23059,77,2238,299,3977,2019,3.210236017
Fall 2019,Red,Red Line,Weekday,5,Midday School,JFK/Umass,60261,69807,77,783,907,3506,2019,0.0
Fall 2019,Red,Red Line,Weekday,5,Midday School,Kendall/MIT,157385,36882,77,2044,479,6400,2019,1.376744021
Fall 2019,Red,Red Line,Weekday,5,Midday School,North Quincy,13957,62834,77,181,816,3356,2019,6.042396998
Fall 2019,Red,Red Line,Weekday,5,Midday School,Park Street,198084,158294,77,2573,2056,7804,2019,0.309052323
Fall 2019,Red,Red Line,Weekday,5,Midday School,Porter,45669,6903,77,593,90,2038,2019,3.64796599
Fall 2019,Red,Red Line,Weekday,5,Midday School,Quincy Adams,307,52538,77,4,682,935,2019,9.157278678
Fall 2019,Red,Red Line,Weekday,5,Midday School,Quincy Center,2852,99259,77,37,1289,1614,2019,7.946997833
Fall 2019,Red,Red Line,Weekday,5,Midday School,Savin Hill,4640,27354,77,60,355,2725,2019,3.380449346
Fall 2019,Red,Red Line,Weekday,5,Midday School,Shawmut,1749,37004,77,23,481,1535,2019,4.637936196
Fall 2019,Red,Red Line,Weekday,5,Midday School,South Station,111357,149721,77,1446,1944,7812,2019,0.598479405
Fall 2019,Red,Red Line,Weekday,5,Midday School,Wollaston,4815,42594,77,63,553,2866,2019,6.756258622
Fall 2019,Red,Red Line,Weekday,6,Pm Peak,Alewife,152376,0,77,1979,0,1979,2019,4.892849933
Fall 2019,Red,Red Line,Weekday,6,Pm Peak,Andrew,38641,114197,77,502,1483,16500,2019,2.064669418
Fall 2019,Red,Red Line,Weekday,6,Pm Peak,Ashmont,0,220672,77,0,2866,0,2019,5.22382406
Fall 2019,Red,Red Line,Weekday,6,Pm Peak,Broadway,54184,113919,77,704,1479,17482,2019,1.211795205
Fall 2019,Red,Red Line,Weekday,2,Early Am,Savin Hill,1662,1696,77,22,22,225,2019,3.380449346
Fall 2019,Red,Red Line,Weekday,2,Early Am,Shawmut,462,2710,77,6,35,160,2019,4.637936196
Fall 2019,Red,Red Line,Weekday,6,Pm Peak,Braintree,0,145157,77,0,1885,0,2019,10.93713477
Fall 2019,Red,Red Line,Weekday,6,Pm Peak,Charles/MGH,174562,61860,77,2267,803,13875,2019,0.598630827
Fall 2019,Red,Red Line,Weekday,6,Pm Peak,Central,176758,60575,77,2296,787,7970,2019,2.300899444
Fall 2019,Red,Red Line,Weekday,2,Early Am,South Station,8111,48876,77,105,635,981,2019,0.598479405
Fall 2019,Red,Red Line,Weekday,2,Early Am,Wollaston,1392,1521,77,18,20,322,2019,6.756258622
Fall 2019,Red,Red Line,Weekday,6,Pm Peak,Davis,95174,20443,77,1236,265,2949,2019,4.091834912
Fall 2019,Red,Red Line,Weekday,6,Pm Peak,Downtown Crossing,403860,282570,77,5245,3670,17815,2019,0.32440095
Fall 2019,Red,Red Line,Weekday,3,Am Peak,Alewife,372451,0,77,4837,0,4837,2019,4.892849933
Fall 2019,Red,Red Line,Weekday,6,Pm Peak,Fields Corner,15305,106960,77,199,1389,3816,2019,0.0
Fall 2019,Red,Red Line,Weekday,6,Pm Peak,Harvard,261472,38963,77,3396,506,6461,2019,3.210236017
Fall 2019,Red,Red Line,Weekday,6,Pm Peak,JFK/Umass,91894,138189,77,1193,1795,7950,2019,0.0
Fall 2019,Red,Red Line,Weekday,3,Am Peak,Andrew,17199,24009,77,223,312,3203,2019,2.064669418
Fall 2019,Red,Red Line,Weekday,6,Pm Peak,Kendall/MIT,378498,36503,77,4916,474,12412,2019,1.376744021
Fall 2019,Red,Red Line,Weekday,3,Am Peak,Ashmont,0,38739,77,0,503,0,2019,5.22382406
Fall 2019,Red,Red Line,Weekday,6,Pm Peak,North Quincy,19855,177107,77,258,2300,8091,2019,6.042396998
Fall 2019,Red,Red Line,Weekday,6,Pm Peak,Park Street,447995,265892,77,5818,3453,16240,2019,0.309052323
Fall 2019,Red,Red Line,Weekday,6,Pm Peak,Porter,65715,17812,77,853,231,3572,2019,3.64796599
Fall 2019,Red,Red Line,Weekday,6,Pm Peak,Quincy Adams,841,144985,77,11,1883,1885,2019,9.157278678
Fall 2019,Red,Red Line,Weekday,6,Pm Peak,Quincy Center,7058,229866,77,92,2985,3757,2019,7.946997833
Fall 2019,Red,Red Line,Weekday,6,Pm Peak,Savin Hill,4676,63138,77,61,820,5007,2019,3.380449346
Fall 2019,Red,Red Line,Weekday,6,Pm Peak,Shawmut,1925,75118,77,25,976,2866,2019,4.637936196
Fall 2019,Red,Red Line,Weekday,6,Pm Peak,South Station,348532,314496,77,4526,4084,18258,2019,0.598479405
Fall 2019,Red,Red Line,Weekday,6,Pm Peak,Wollaston,4779,115678,77,62,1502,6651,2019,6.756258622
Fall 2019,Red,Red Line,Weekday,7,Evening,Alewife,58141,0,77,755,0,755,2019,4.892849933
Fall 2019,Red,Red Line,Weekday,7,Evening,Andrew,18057,70270,77,235,913,8210,2019,2.064669418
Fall 2019,Red,Red Line,Weekday,7,Evening,Ashmont,0,103165,77,0,1340,0,2019,5.22382406
Fall 2019,Red,Red Line,Weekday,7,Evening,Broadway,28769,62123,77,374,807,8888,2019,1.211795205
Fall 2019,Red,Red Line,Weekday,7,Evening,Braintree,0,42161,77,0,548,0,2019,10.93713477
Fall 2019,Red,Red Line,Weekday,7,Evening,Charles/MGH,74143,30335,77,963,394,6000,2019,0.598630827
Fall 2019,Red,Red Line,Weekday,7,Evening,Central,97511,46836,77,1266,608,4278,2019,2.300899444
Fall 2019,Red,Red Line,Weekday,7,Evening,Davis,65174,8302,77,846,108,1494,2019,4.091834912
Fall 2019,Red,Red Line,Weekday,3,Am Peak,Broadway,16061,43929,77,209,571,3292,2019,1.211795205
Fall 2019,Red,Red Line,Weekday,3,Am Peak,Braintree,0,10549,77,0,137,0,2019,10.93713477
Fall 2019,Red,Red Line,Weekday,3,Am Peak,Charles/MGH,31190,101949,77,405,1324,12003,2019,0.598630827
Fall 2019,Red,Red Line,Weekday,3,Am Peak,Central,199838,120944,77,2595,1571,15139,2019,2.300899444
Fall 2019,Red,Red Line,Weekday,3,Am Peak,Davis,372722,3231,77,4841,42,9636,2019,4.091834912
Fall 2019,Red,Red Line,Weekday,3,Am Peak,Downtown Crossing,163998,275678,77,2130,3580,7976,2019,0.32440095
Fall 2019,Red,Red Line,Weekday,3,Am Peak,Fields Corner,12980,30531,77,169,397,642,2019,0.0
Fall 2019,Red,Red Line,Weekday,3,Am Peak,Harvard,184960,85248,77,2402,1107,14115,2019,3.210236017
Fall 2019,Red,Red Line,Weekday,3,Am Peak,JFK/Umass,24565,111386,77,319,1447,1038,2019,0.0
Fall 2019,Red,Red Line,Weekday,3,Am Peak,Kendall/MIT,56897,227641,77,739,2956,12922,2019,1.376744021
